Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19270324,0.65,1.21,0.66,0.28,0.95,1.37,0.4,0.28,1.07,0.6
19270325,0.1,0.01,0.4,0.6,-0.15,0.37,-0.07,0.28,0.35,-0.19
19270326,0.48,0.8,0.21,0.5,-0.42,1.51,-0.18,0.15,-0.09,0.23
19270328,0.39,1.27,0.62,-0.12,1.5,0.19,0.42,-0.26,-0.2,0.83
19270329,-0.1,-0.21,0.41,-0.71,-0.65,-0.52,-0.44,0.2,-0.22,-0.34
19270330,-0.55,-1.25,-0.86,-1.47,-0.17,-0.12,-0.15,-0.02,-0.53,0.09
19270331,0.28,0.39,0.33,0.27,0.44,-0.02,0.37,-0.11,0.21,0.44
19270401,-0.27,-0.38,0.42,-0.86,1.41,-0.08,0.01,0.13,0.05,0.08
19270402,-0.01,-0.46,-0.14,-0.54,0.95,0,-0.32,-0.4,0.58,0.1
19270404,1.07,0.62,0.46,-0.04,0.79,0.65,0.24,0.13,0.03,0.91
19270405,0.03,2.04,0.83,1.09,-0.05,0.19,0.3,0,0,0.37
19270406,0.04,-0.29,0.15,0.14,-0.94,0.74,1.47,0.11,0.21,-0.1
19270407,0.12,-0.53,-0.12,0.44,-0.58,1.5,0.68,0.34,0.14,0.5
19270408,0.24,1.09,0.51,0,0.19,-1.3,-0.27,0.39,0.88,0.53
19270409,-0.01,0.47,0.31,-0.55,0.05,-0.38,0.07,0.5,0.29,-0.03
19270411,0.29,0.28,-0.02,0.04,0.89,-0.21,1.05,0.07,0.84,0.06
19270412,0.58,-0.47,-0.29,-0.1,-0.33,-0.6,-1.03,-0.24,0.1,-0.67
19270413,0.72,0.24,0.49,-0.43,2.11,-0.07,-0.13,-0.14,0.09,0
19270414,0.29,0.22,0.34,-0.25,-0.49,-0.09,-0.28,1.05,0.74,0.07
19270416,0.57,0.59,0.33,-0.48,-0.39,-0.08,0.37,1.08,0.37,0.16
19270418,0.18,-0.05,0.28,-0.99,0.06,-0.23,0.46,0.26,-0.46,0.18
19270419,-0.06,0.41,0.11,0.92,0.47,-0.34,0.97,0.1,-0.39,-0.05
19270420,0.35,-0.16,-0.14,0.47,0.92,-0.09,1.52,0.09,0.14,0.39
19270421,0.45,1.82,0.12,-0.1,0.65,-0.4,1.55,-0.38,0.44,0.16
19270422,0.08,0.27,-0.12,-0.63,1.31,0.28,-0.02,0.01,-0.03,0.41
19270423,-0.29,-1.05,-0.11,-1.05,0.34,-0.41,-0.29,0,-0.17,-0.14
19270425,-1.21,-2.14,-1.97,-1.1,-2.08,-0.64,-2.28,-1.83,-1.67,-1.44
19270426,0.34,1.35,0.83,0.37,0.95,0.25,0.85,0.77,0.73,0.25
19270427,-0.11,-0.22,-0.46,-1.31,0.44,-0.59,0.18,0.53,-0.41,-0.09
19270428,-0.65,-1.76,-1.42,-1.13,-1.45,-0.29,-0.73,-0.36,-0.76,-1.24
19270429,0.4,1.46,0.6,0.31,0.85,-0.22,0.17,0.78,0.39,0.41
19270430,0.18,-0.13,-0.2,0.52,-0.7,0.29,-0.05,-0.24,-0.38,0.11
19270502,0.14,0.95,0.09,0.52,0.02,0.14,0.23,0.07,0.99,0.07
19270503,0.55,1.59,0.73,-0.02,1.1,0.99,1.32,0.11,0.66,0.81
19270504,1.12,0.2,0.96,1.6,0.93,1.18,0.33,-0.43,0.6,0.45
